uri,subtitle,tags,url,uid,shared,type
ulid,time ordered UUIDs,tech,https://github.com/ulid/spec,487,2022-2-2,
Single table design,Putting all your app data in one table,"NoSQL,web,tech",https://www.alexdebrie.com/posts/dynamodb-single-table/,486,2022-2-1,
NoSQL Workbench,Basically a DynamoDB table designer,"web,tech",https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/workbench.Modeler.html,485,2022-2-1,
I2P,The invisible internet project,"home,web,tech",https://geti2p.net/en/,483,2021-8-6,
Home mining,For non-KYC Bitcoin,"bitcoin,home,tech",https://www.econoalchemist.com/post/home-mining-for-non-kyc-bitcoin,481,2021-7-13,
GitHub Copilot,Autocomplete code,"ml,tech",https://twitter.com/natfriedman/status/1409883713786241032,480,2021-6-29,tweetquote
lnbook 04,Lightning Node Software,"bitcoin,tech",https://github.com/lnbook/lnbook/blob/develop/04_node_client.asciidoc,477,2021-6-17,
Stacks,"Smart contracts for Bitcoin, secured by Bitcoin’s blockchain, miners earn sats","bitcoin,tech",https://twitter.com/judecnelson/status/1404654641606971393,475,2021-6-15,tweetquote
Bitcoin Beach,Story of a village that adopts a circular Bitcoin economy ,"bitcoin,community,tech",https://www.forbes.com/sites/tatianakoffman/2020/07/14/this-el-salvador-village-adopts-bitcoin-as-money/,474,2021-6-9,
Bitcoin beach wallet,Community banking application,"bitcoin,community,tech",https://twitter.com/nicolasburtey/status/1402542040198623232,473,2021-6-9,tweetquote
Learn me a bitcoin,Unexpectedly friendly deep dive into how Bitcoin works,"bitcoin,crypto,tech",https://learnmeabitcoin.com/,472,2021-6-6,
Casa,Secure Bitcoin with multisig wallets,"home,bitcoin,tech",https://keys.casa/,471,2021-6-6,
Lightning Labs,"Building a faster, cheaper layer on top of bitcoin","bitcoin,tech",https://lightning.engineering/,470,2021-6-6,
Strike,Send money instantly with no fees,"bitcoin,crypto,finance",https://strike.me/faq/howitworks,469,2021-6-6,
Breez,"Wallet, payments, point of sale, and podcasts","bitcoin,crypto,tech",https://breez.technology/index.html,468,2021-6-6,
CBECI,Cambridge bitcoin electricity consumption index,"crypto,tech,sustainability",https://cbeci.org/,466,2021-5-13,
Good Garms,Discover sustainable & ethical clothing,"consumer,web",https://www.goodgarms.com/,463,2021-4-9,
Seeing Theory,A visual introduction to probability and statistics,"home,data,science",https://seeing-theory.brown.edu/,462,2021-4-5,
Amazon Builders' Library,Software architecture references,"enterprise,web,tech",https://aws.amazon.com/builders-library/?cards-body.sort-by=item.additionalFields.customSort&cards-body.sort-order=asc,461,2021-3-24,
Krisp HD Voice,Noise canceling plus voice enhancement,"ml,home,tech",https://krisp.ai/blog/hd-voice-echo-cancellation-more/,460,2021-3-9,
Proof of Work is Efficient,Dan Held on Bitcoin's energy usage,"crypto,finance,tech",https://www.danheld.com/blog/2019/1/5/pow-is-efficent,458,2021-2-25,
BlockFi,Borrow and earn interest on digital assets,"crypto,finance,tech",https://blockfi.com/,454,2021-2-3,
React server components,Optimized for performance,"js,web,tech",https://twitter.com/vercel/status/1350157615595048961,453,2021-1-23,tweetquote
Stripe Climate,Businesses can opt to contribute % revenue to carbon removal,"enterprise,tech,finance,sustainability",https://twitter.com/patrickc/status/1349889070164414465,452,2021-1-14,tweetquote
Stripe for VSCode,Dev tools for @stripe devs,"js,web,tech",https://twitter.com/auchenberg/status/1349772997993910272,451,2021-1-14,tweetquote
Avocado armchair,New OpenAI models turn text into images,"ml,tech",https://twitter.com/techreview/status/1348299504781549568,450,2021-1-11,tweetquote
2020 Letter,Dan Wang,"life,community,essay",https://twitter.com/danwwang/status/1345035058415996934,448,2021-1-3,tweetquote
Reverse engineering the vaccine,"The ""code"" behind the mRNA","covid,tech,science",https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/,447,2021-1-2,
Finviz,Financial visualization,"home,finance,web,tech",https://finviz.com/map.ashx,446,2021-1-2,
Space Telescope Live,Where's Hubble looking?,"home,web,space,science",https://spacetelescopelive.org/,445,2021-1-1,
Perceptilabs,Tensorflow GUI for machine learning,"home,ml,tech",https://perceptilabs.com/home,444,2020-12-30,
AI Tax Policy,Optimizes for balance between productivity and equality,"ml,tech,life",https://www.youtube.com/watch?v=Sr2ga3BBMTc,443,2020-12-30,
Online Statistics Education,A Multimedia Course of Study by Rice University,"home,math,data,science",http://onlinestatbook.com/2/index.html,442,2020-12-18,
Room Service,Multiplayer for the web,"js,web,tech",https://www.roomservice.dev/,441,2020-12-14,
OEC,"The observatory of economic complexity, visualizing international trade data","js,web,graphics,tech",https://oec.world/,439,2020-11-4,
KiwiCo,Kits for curious kids,"home,science,education,parenting",https://www.kiwico.com/,438,2020-9-5,
Maccy,Open source clipboard manager for macOS,"home,tech",https://github.com/p0deje/Maccy,437,2020-9-4,
Transferwise,Send money abroad,"payments,tech",https://transferwise.com/ca,436,2020-9-3,
Braintree,Payments platform,"payments,tech",https://www.braintreepayments.com/ca/braintree-pricing,435,2020-9-3,
Troff,And its companion programs,"home,nix,tech",https://troff.org/prog.html,434,2020-9-2,
Permacomputing,Applying permaculture concepts to the computer world,"tech,life",http://viznut.fi/texts-en/permacomputing.html,433,2020-8-25,
The headless dev,Tutorials for controlling browsers with code,"js,web,tech",https://theheadless.dev/,432,2020-8-19,
A tour of the ACME editor,"YT: An ""integrating"" development environment for programmers","tech,nix,home",https://www.youtube.com/watch?v=dP1xVpMPn8M,431,2020-8-11,
ksqldb,Event driven streaming database,"enterprise,db,tech",https://ksqldb.io/,430,2020-8-11,
The What and How of Sankey Diagrams,"Sankey diagrams, code, and how to make the best of them","python,tech,data,graphics",https://towardsdatascience.com/the-what-why-and-how-of-sankey-diagrams-430cbd4980b5,429,2020-8-7,
Synth Samples SDL2,SDL2 examples for starting audio programming in C,"c,tech,audio",https://github.com/lundstroem/synth-samples-sdl2,428,2020-8-7,
Grant Custer,Interface Design Experiments,"ux,tech,graphics,blog",https://feed.grantcuster.com/,427,2020-8-7,
Postscript Quickstart,A beginner guide to Postscript graphics,"graphics,tech",http://paulbourke.net/dataformats/postscript/,426,2020-8-7,
A Velvet Rope,Hype and exclusivity in recent startup launches,"tech,enterprise,strategies",https://medium.com/@gabygoldberg/the-value-of-a-velvet-rope-effects-of-hype-and-exclusivity-on-launch-strategies-8e8061cf517e,423,2020-7-27,
A Happy Job,"Job search by culture, values, perks, tech stack","enterprise,tech,life",https://www.ahappyjob.com/,422,2020-7-27,
Learnable Programming,designing a programming system for understanding programs via @worrydream ,"tech,learning,paper",http://worrydream.com/LearnableProgramming,421,2020-7-26,
Mindstorms,"Children, computers, and powerful ideas","tech,learning,books",https://www.goodreads.com/book/show/703532.Mindstorms,420,2020-7-26,
Just Javascript,A distilled mental model on Javascript by @dan_abramov,"js,tech,learning",https://justjavascript.com/,419,2020-7-26,
Magenta isn't a colour,Our brain makes it up to tell it apart from green,"home,life,science",https://www.biotele.com/magenta.html,418,2020-7-26,
ProductHunt Jul 22 2020,"Today's @producthunt Digest: Shopify’s new side project, no-code apps, and mentorship opportunities https://t.co/Uw01JVQ5O1","tech,news",https://www.producthunt.com/newsletter/5837,417,2020-7-22,
Allie Miller 2020,2020 AI resources review,"ml,tech,life,enterprise",https://medium.com/@alliekmiller/all-of-my-2020-linkedin-posts-71ddbe91f94b,416,2020-7-21,
Django Signals,TIL Django has a signal dispatcher,"python,tech",https://docs.djangoproject.com/en/3.0/topics/signals/,415,2020-7-20,
Next Chapter Program Expands,Includes Dropbox and Zoom,"tech,life,community",https://slackhq.com/next-chapter-program-expansion-dropbox-zoom,411,2020-7-17,
The White Parent's Guide,A guide to raising anti-racist kids,"parenting,life",https://www.parents.com/kids/responsibility/racism/the-white-parent-s-guide-to-raising-anti-racist-kids/,410,2020-7-16,
How to talk to kids about Race,The Conscious Kid,"parenting,life",https://www.theconsciouskid.org/how-to-talk-to-kids-about-race,409,2020-7-16,
Elements of Programming Interviews,Notes on the book via Collected Notes by @hello_brena,"home,tech,learning,enterprise",https://t.co/3HXqIN6DFf?amp=1,404,2020-7-15,
Hiplot,Interactive high dimensional plotting by Facebook,"ml,web,tech",https://facebookresearch.github.io/hiplot/_static/demo/ml1.csv.html,403,2020-7-15,
Macro,"Built on Zoom, reimagined for inclusiveness and collaboration","enterprise,web,tech",https://www.macro.io/,402,2020-7-14,
Grow with Google,"100,000 need-based scholarships in high growth fields","enterprise,tech,diversity",https://twitter.com/Google/status/1282677217307369474,401,2020-7-14,tweetquote
Popular Javascript interview questions,with answers,"js,enterprise,tech",https://twitter.com/nlognco/status/1282888619917627393,400,2020-7-14,tweetquote
Reply,Instantly create a public FAQ and Q/A page,"home,web,tech",https://rep.ly/,398,2020-7-13,
Riverside,Stream podcasts live with a web app and offline downloads,"enterprise,web,audio,tech",https://twitter.com/freialobo/status/1282080134141480960,397,2020-7-12,tweetquote
Feather Icons,Beautiful open source icons,"home,web,design,tech",https://feathericons.com/,396,2020-7-11,
Jarom Vogel,Augmented reality designs and comics,"ar,design,tech",https://twitter.com/jaromvogel/status/1125401258494324736,388,2020-7-11,tweetquote
AR Copy Paste,Paste your surroundings into any software,"ml,ar,tech",https://twitter.com/ProductHunt/status/1277165106397405186,384,2020-7-3,tweetquote
Jailed,Sandboxed javascript code execution,"js,web,tech",https://github.com/asvd/jailed,383,2020-7-3,
one line layouts,modern css layout and sizing techniques,"web,tech",https://twitter.com/Una/status/1278615508967981056,382,2020-7-2,tweetquote
FRL Holographic Optics,An experimental ultra-thin VR headset.,"vr,tech,gear,paper",https://research.fb.com/blog/2020/06/holographic-optics-for-thin-and-lightweight-virtual-reality/,381,2020-6-30,
Datocms streaming,HLS adaptive bitrate streaming support,"enterprise,web,tech",https://www.datocms.com/features/video-streaming-encoding,380,2020-6-30,
John Collison on Stripe,Stripe's mission is to increase the GDP of the internet.,"enterprise,web,tech",https://twitter.com/blakeir/status/1275459570492571650,379,2020-6-29,tweetquote
Facemoji,Social avatars,"web,life,tech",https://twitter.com/robinraszka/status/1277315533659164672,378,2020-6-29,tweetquote
What is stale-while-revalidate,And how does it make slow things fast?,"js,web,tech,blog",https://amorris.ca/notes/what-is-swr,377,2020-6-24,
MakeSpace,A project for social dynamics using the web,"web,life,tech",https://twitter.com/MakeSpaceTeam/status/1273661827642097665,376,2020-6-24,tweetquote
NextAuth.js,Authentication for NextJS & Serverless,"frontend,js,react,web,tech",https://next-auth-example.now.sh/,375,2020-6-23,
Outer Space Treaty Article II,Outer space is not subject to appropriation by any nation.,"space,tech",https://collectednotes.com/aaronmorris/outer-space-treaty-article-ii,374,2020-6-17,
Collected Notes,The simplest and most powerful note-taking platform,"web,tech",https://collectednotes.com/,373,2020-6-16,
Crystallize,Headless eCommerce to stand out when selling online,"headless,web,tech",https://crystallize.com/,372,2020-6-16,
Mux,Post a video and stream it everywhere,"headless,web,tech",https://mux.com/,371,2020-6-16,
sanity.io,Keeps your content flexible and limber as structured data,"headless,web,tech",https://www.sanity.io/structured-content,370,2020-6-16,
Ben Eater,Maximize human potential through education online.,"life,learning,web,tech",https://eater.net/,369,2020-6-10,
QuicTransport,"A new API offering low-latency, bidirectional, client-server messaging.","web,tech",https://twitter.com/Justinwillis96/status/1270768339531427840,368,2020-6-10,tweetquote
Visualizing Quaternions,Videos and interactive widgets,"web,math,tech",https://eater.net/quaternions/,367,2020-6-9,
Raheem,An independent service for reporting police in the US.,"home,community,life,BlackLivesMatter",https://raheem.org/,366,2020-6-9,
Map of Linux Kernel,An interactive web page.,"nix,tech",https://twitter.com/binitamshah/status/1269883131173240834,360,2020-6-8,tweetquote
Hair Loss in Black Tailed Deer,Foreign chewing lice appearing in BC deer.,"community,science,paper",https://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-40.4.670,357,2020-6-7,
Norilsk Oil Spill,"20,000 tonnes of diesel fuel spilled, flowing towards the Arctic Ocean","life,news",https://twitter.com/ASLuhn/status/1267780937330446337,354,2020-6-5,tweetquote
Implicit Association Tests,Harvard demonstration tests for checking your bias.,"home,science,BlackLivesMatter",https://implicit.harvard.edu/implicit/canada/selectatest.jsp,353,2020-6-2,
Racism Reading Guide,Books to understand and fight racism.,"books,BlackLivesMatter",https://www.buzzfeednews.com/article/ariannarebolini/george-floyd-amy-cooper-antiracist-books-reading-resources,352,2020-6-2,
On Distributed Systems,Small thoughts for new engineers working with distributed systems.,"enterprise,web,tech",https://www.somethingsimilar.com/2013/01/14/notes-on-distributed-systems-for-young-bloods/,351,2020-6-1,
Obsidian,An offline file-based markdown notebook with a graph view.,"home,blog,tech",https://obsidian.md/,349,2020-5-27,
Snowpack,A better build tool for modern javascript leveraging native Ecmascript modules.,"js,web,tech",https://www.snowpack.dev/,348,2020-5-27,
Terra Planter,An inside-out planter for growing plants indoors.,"home,garden,tech",https://www.terraplanter.com/,347,2020-5-25,
AI that does nothing,Adversarial agent learns to psyche out a trained AI to win!,"tech,ml,paper",https://www.youtube.com/watch?v=u5wtoH0_KuA,346,2020-5-24,
Simulating an epidemic,Toy models exploring how factors can change an epidemic.,"home,life,math,science",https://youtu.be/gxAaO2rsdIs,345,2020-5-24,
Humankind,A historian's book on human-nature and kindness.,"community,life,books",https://time.com/5838900/rutger-bregman-humankind-interview/,344,2020-5-23,
Building Relationships,Making work enjoyable and productive,"enterprise,life,blog",https://www.mindtools.com/pages/article/good-relationships.htm,343,2020-5-23,
Elevator Saga,Program elevators in Javascript.,"js,web,games,tech",https://play.elevatorsaga.com/,342,2020-5-22,
Surviving Depression,Cathartic notes on becoming present and grateful.,"thoughtful,home,life,blog",https://vishnu.tech/posts/surviving-depression/,341,2020-5-22,
Serverless Architecture,What a 100% serverless architecture looks like in AWS. ,"enterprise,web,tech",https://twitter.com/tysoncadenhead/status/1263863466315649024,340,2020-5-22,tweetquote
https://t.co/6YLyYeCq8y,passwordless login in a few lines of code.,"frontend,js,web,tech","http://magic.link,https://twitter.com/rauchg/status/1263904411362799616",339,2020-5-22,tweetquote
H.264 is Magic,A technical walkthrough of a remarkable technology.,"web,graphics,tech",https://sidbala.com/h-264-is-magic/,338,2020-5-21,
Shopify goes digital by default,Most work will be permanently remote.,"work,life,remote,community",https://twitter.com/tobi/status/1263483496087064579,337,2020-5-21,tweetquote
Notion API Worker,Serverless API access to Notion.,"home,blog,js,web,tech",https://github.com/splitbee/notion-api-worker,336,2020-5-21,
Google AIPs,API improvement proposals,"web,tech,paper",https://google.aip.dev/general,335,2020-5-21,
Exercise for ADHD,Immediately helps with both short and long term performance.,"brain,science,life,paper",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6617109/,334,2020-5-21,
Framer Web,"Free, collaborative, no-code prototyping.","js,web,ux,design,tech",https://twitter.com/framer/status/1262748834544775169,333,2020-5-19,tweetquote
Fortunæ,An open source and offline-first personal finance tracker.,"js,web,finance,tech",https://twitter.com/uonaiii/status/1262372284389634048,332,2020-5-18,tweetquote
Plant Jammer,AI-augmented recipe improvisation app to empty your fridge.,"home,ml,kitchen,tech",https://www.plantjammer.com/blog/recipes-dont-have-to-be-so-dumb,331,2020-5-17,
Psychobiotics,pre and probiotics that influence bacteria-brain relationships.,"brain,science,life",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5102282/,330,2020-5-17,
Inflammation and the Brain,Prolonged inflammation results in neurodegeneration and impaired neurogenesis.,"brain,science,life",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3390758/,329,2020-5-17,
BDNF,A protein highly related to brain growth activated through a rich multi-sensory environment.,"brain,science,life",https://en.wikipedia.org/wiki/Brain-derived_neurotrophic_factor#Cognitive_function,328,2020-5-17,
Recoil JS,An experimental state management library for React.,"react,js,web,tech",https://www.youtube.com/watch?v=fb3cOMFkEzs,327,2020-5-16,
Zapier's SEO Ranking Tips,Actionable advice to understand and boost your search ranking.,"home,enterprise,web,tech",https://zapier.com/blog/improve-search-engine-ranking/,326,2020-5-16,
Preact Devtools 0.6.1,Featuring snappy flame graphs.,"js,web,tech",https://twitter.com/marvinhagemeist/status/1258774064317059072,325,2020-5-16,tweetquote
A Visual Introduction to Machine Learning,Daring visualizations in this scroll-through introduction.,"js,web,tech,ml,blog",http://www.r2d3.us/visual-intro-to-machine-learning-part-1/,324,2020-5-16,
Waveforms,A React based interactive intro to sound for beginners.,"react,js,web,science,blog",https://pudding.cool/2018/02/waveforms/,323,2020-5-16,
Taika,"Coffee meets with keen humor, design, adaptogens","home,kitchen,coffee",https://taika.co/,322,2020-5-15,
Alphavantage,Real time and historical stock API.,"home,finance,tech",https://www.alphavantage.co/,321,2020-5-15,
Lovevery,Science-backed toys for babies to learn as they grow.,"home,parenting,life,gear",https://lovevery.com/,320,2020-5-14,
Product Design Methods in a Mind Map,Visual breakdown of product design responsibilities and concepts.,"enterprise,ux,design,tech",https://uxplanet.org/product-design-methods-mind-map-f6511820a7d5,319,2020-5-14,
Unreal Engine 5,Dynamic global illumination of billions of polygons.,"tech,games,news",https://www.unrealengine.com/en-US/blog/a-first-look-at-unreal-engine-5,318,2020-5-13,
Minimum lovable product,Don't serve burnt pizza,"tech,enterprise,engineering,blog",https://firstround.com/review/dont-serve-burnt-pizza-and-other-lessons-in-building-minimum-lovable-products/,317,2020-5-13,
Deno,a scripting runtime built for modern JavaScript.,"backend,js,web,tech",https://deno.land/v1,316,2020-5-13,
SWR shared hook state,share state between hook calls.,"react,frontend,web,tech",https://paco.im/blog/shared-hook-state-with-swr,315,2020-5-13,
Measuring B2B Growth,"@segment on not just growing your business, but knowing why it's growing.","enterprise,web,data,tech,blog",https://segment.com/blog/how-to-measure-B2B-growth/,313,2020-5-10,
Facebook Redesign,"How they've shipped the latest updates using things like atomic css, code splitting, and JS budgeting per product.","enterprise,frontend,web,tech,blog",https://engineering.fb.com/web/facebook-redesign/,312,2020-5-8,
MNT Reform,A much more personal computer. Fully open hardware. https://t.co/fVZOsbSVin,"tech,community,hardware",https://www.crowdsupply.com/mnt/reform,311,2020-5-8,
Modulz,No code design system app in private beta. ,"web,graphics,tech,design",https://www.modulz.app/,310,2020-5-7,
Hemingway App,Make your writing bold and clear.,"home,web,tech",https://hemingwayapp.com/,308,2020-5-6,
Writing without BS,And why it matters.,"home,life,blog,learning",https://withoutbullshit.com/blog/10-top-writing-tips-psychology,307,2020-5-6,
Codenames Online,Play codenames with friends using your browser.,"home,web,fun",https://www.horsepaste.com/,306,2020-5-6,
GRPC,General purpose RPC infrastructure.,"web,tech",https://grpc.io/blog/principles/,305,2020-5-6,
Zen Work Pod,Tiny workspace by @autonomousdotai ,"home,enterprise,gear",https://www.autonomous.ai/zen-work-pod?lang=en-US,304,2020-5-6,
Who's got the monkey?,Harvard on managers delegating to subordinates circa 1999.,"enterprise,work,life",https://hbr.org/1999/11/management-time-whos-got-the-monkey,303,2020-5-5,
Wealth shown to scale,Scroll to see the ultra rich visualized in your browser.,"enterprise,news,blog",https://mkorostoff.github.io/1-pixel-wealth/,302,2020-5-1,
Secret work from home tips,By the Zapier team.,"WFH,home,enterprise,blog",https://zapier.com/blog/secret-work-from-home-tips/,301,2020-5-1,
WebExtension Polyfill,Write extensions with promises,"js,web,tech",https://github.com/mozilla/webextension-polyfill,300,2020-4-30,
gartic,drawing and guessing game,"home,games",https://gartic.io/,299,2020-4-30,
VSCode auto-attach,Easier integrated debugging Circa 2018.,"home,poweruser,tech",https://code.visualstudio.com/blogs/2018/07/12/introducing-logpoints-and-auto-attach,298,2020-4-30,
BMI therapy,brain implant restores motion and touch,"tech,science,news",https://www.wired.com/story/a-brain-implant-restored-this-mans-motion-and-sense-of-touch/,297,2020-4-28,
window.location cheatsheet,by Samantha Ming,"web,tech,js",https://dev.to/samanthaming/window-location-cheatsheet-4edl,296,2020-4-28,
Executives?,What does an executive do anyway?,work,https://apenwarr.ca/log/20190926,293,2020-4-26,
Paul Sellers,Lifestyle Woodworker,"woodworking,home",https://www.youtube.com/watch?v=VmdSoAmytWw,292,2020-4-10,
CSS Separators,CSS only code generation ui,"web,tech",https://wweb.dev/resources/css-separator-generator,291,2020-4-25,
Zeit UI React,The design of the ZEIT is concise and aesthetic,web,https://react.zeit-ui.co/en-us/guide/introduction,290,2020-4-11,
Working Asynchronously,Why you should work asynchronously,"tech,work",https://blog.remote.com/why-you-should-be-doing-async-work/,289,2020-4-26,
important women in cs,some of many women notable in computer science,"tech,women",https://www.hillelwayne.com/post/important-women-in-cs/,288,2020-4-26,
Imba Language,Very fun and concise syntax for web apps,"tech,web",https://imba.io/,287,2020-4-26,
Kinto,Minimalist JSON storage by mozilla,"tech,web",https://docs.kinto-storage.org/en/latest/overview.html,286,2020-4-26,
MDN: Selection,Javascript input selection API,"tech,web",https://developer.mozilla.org/en-US/docs/Web/API/Selection,285,2020-4-26,
React Fiber in Depth,How react fiber works,"tech,web",https://medium.com/react-in-depth/inside-fiber-in-depth-overview-of-the-new-reconciliation-algorithm-in-react-e1c04700ef6e,284,2020-4-26,
HTM,Simple native javascript markup like react,"tech,web",https://github.com/developit/htm#--htm-hyperscript-tagged-markup--,283,2020-4-26,
htmldom.dev,HTML DOM manipulation with vanilla javascript,"tech,web",https://htmldom.dev/,282,2020-4-26,
HAV,Command line tool for getting HTML data,"tech,web",https://hav.amorris.ca/,281,2020-4-26,
Web Components,Make your own html tags,"tech,web",https://css-tricks.com/an-introduction-to-web-components/,280,2020-4-26,
Haunted,React Hooks style for web components,"tech,web",https://github.com/matthewp/haunted,279,2020-4-26,
ShellHub,A SSH server for remote linux access,"tech,nix",https://shellhub-io.github.io,278,2020-4-26,
